Text,Sentiment
@Bern_morley where are you? In Bris? I can't hear any thunder,-1
Too bad the Red Devils.. disappointing to say the least,-1
"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",-1
when da heck will the garage man get here I ask you.. WHEN..,-1
"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",-1
@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,1
why are plane tickets so expensive,-1
Needs a job BADLY!!!,-1
@AlexanderGWhite daaammmnnnnn I do wish I was there.,-1
@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4,-1
@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,1
would wish the severe migrains would stop!!! doc's prescriptions arent working,-1
@bobbyedner i missed the game,-1
@tiffalo cuz airlines are super lame.,-1
@lenje - Still a pity it comes with no lamb though,-1
@bloomsday16Ę I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,-1
"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat",-1
I'm so very tired...and have insomnia.,-1
people in my house do not know how to close doors,-1
out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,-1
@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,-1
"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.",-1
i think the vog is making me sicker than i think. feeling slightly achy,-1
i am doing homework it sux big time maths is the worst!!!!!!,-1
#3wordsaftersex it never started...,-1
"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",1
@mysticnz no im notĘ cries LOL,-1
I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,-1
@FoxxFiles aw u can't let me in on the secret!,-1
"no transport for churchĘ wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...",-1
"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",-1
Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,-1
It's pissing me off and not letting me follow ericka,-1
@koifusionpdx i was so close to the tacos...one spot too late,-1
I haven't seen Muffin in two whole days!,-1
@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,-1
"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....",-1
@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,1
my twitter has been hacked again,-1
Just found mj mouse flats at DJs. Of course there are none left in my size,-1
@lanacaitlinĘ hahaha well its try its so ugly,-1
"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you",-1
@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.Ę I should be a lot of fun though,1
"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.",-1
@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,-1
Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,-1
I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,-1
sprained my ankleĘ like really badly and tore some stuffs. it hurts! and its my birthday weekend,-1
think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,-1
"@jhicksĘ youre diabetic? Ę so is my dad.Ę &amp; i might be too, not sure.Ę are you still allowed to eat sugar throughout the day?",-1
"Scary lightning and thunderĘ I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha",1
my teeth and head hurts,-1
"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",-1
no more arrested development. i am sad.,-1
"@Giggles_xoĘ wicked , what time you leaving? how come you cant stay the night",-1
I feel so deflated. No more doggy.,-1
just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,-1
@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,-1
ALO is so sad and quiet and empty tonight,-1
"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",1
I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,-1
OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,-1
Sad that Christian Lacroix had to file bankruptcy,-1
I dont feel good AT ALL. fuckkk,-1
@djvinceadams Ohh poor girlĘ I'll email her... I am relying on you being here in October Mr!!,-1
@Moss1982 bad times?,-1
aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,-1
Have to go to the dreaded DMV tomorrow,-1
My puppy Gizmo h8s me..Ę haha. He still growls @ me.Ę I always look back @ my long pruple scar on my fingie,1
"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",-1
I feel so deflated. No more doggy.,-1
Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,-1
is feeling badĘ just got bad news about my Mum,-1
@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyerĘ Any next weekend? I&quot;M DOWN!,-1
"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lameĘ haha",-1
feels sick to my stomach and idkk whyy,-1
Counting the hours of lost sunshine until the Weekend,-1
"got to final table, but....went out third.Ę Don't think I'll be getting my free seat",-1
I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,-1
FB is boring Ę and i wanna sing RIGHT NOW..! *-*,-1
Last day at work...Sick to the bone,-1
i feel like I'm on house arrest.,-1
@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,-1
my stupid tooooth hurts,-1
@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is,1
@turnitgrey my computers broken and I broke my laptop so I had to use the phoneĘ ahh still on he cause they fucked up my order.,-1
@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,1
It's a sad economy. Just heard of another friend losing their job.Ę so sad. But just a reminder that...,-1
@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,-1
my dog ran awayyy,-1
@all_is_one84 Those suck so bad.,-1
does anyone know any good rap songs? i need to make a rap/fun cd and i have no ideaĘ helllllpppp,1
I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,1
my mobile phone refuses to charge!!Ę either the battery is broken or the chargerrr ( booooo,-1
"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night.",-1
"Morning everyone sorry for going early last night had bad news, felt totally crap Ę Today is a new day",-1
"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",-1
@charloro jealousĘ it looks like schindler's list in toronto,-1
"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all.",-1
@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,-1
"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!Ę Shit!",-1
"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing",-1
@meljachin: eww. dislike,-1
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.Ę Age of the instant gratification....,1
"@SuzyDunkley sorry bout the cat,",-1
my stomach feels like it's touching the ground..i'm SO full,-1
Pug just woke me from an incredible sleep!,-1
@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to meĘ i love you so much!!!!,1
Sooo much work so little time,-1
missed iron chef,-1
@thevowel the DS version sucks,-1
@lilxamyx08 i know ridiculous! we never got to hang outĘ i love chicago and want to go shopping... so a trip sounds like fun,1
hates the net. ayaw bumukas ng twitter.Ę http://plurk.com/p/wxlxs,-1
"Ugh, my internet was down!",-1
omg i didnt tweet all that much today.... *sadness*,-1
is feeling so giddy and wanna go home.,-1
@rockingjude The link doesn't work,-1
Somebody please save the polar bears!,1
I miss my mom..Ę &quot;May angels lead you in&quot;,-1
on jacksonville beach walking in the cold Ass water Ę but have to work in the morning Ę ily &lt;('-')&gt;,-1
Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,-1
@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right nowĘ but i didnt miss it,1
@JayDz hope ya sleepin wellĘ guys still here,1
"i should be finished.... but i'm not.Ę color drawing, here i come.",-1
"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to workĘ you'll have to keep me posted please",-1
damn being drunk and hot sucks,-1
misses my baby.,-1
Showered in ice-cold water. Sweating now. Means one thing: I'm sick,-1
I'm poorly and can't sleep,-1
Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.,-1
"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...Ę ? http://blip.fm/~78qvz",-1
"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman.",-1
@jessicaduncan http://twitpic.com/662vk -Ę WHY DO U LOT MOCK ME!!!,-1
@abguerraartistĘ I am not a pussy! damnit!Ę [sending you an e-mail right now btw],-1
Can't sleep and nothings on tv!!,-1
@KallieT oh ... you've been superseeded?Ę not good enough,-1
"is really, really bored... I guess I will go to bed",-1
Sometimes the things you say hurt the ones you love most unintentionally.Ę And you can never ever take it back or fix it.,-1
@nickkk_ that sucks!,-1
@dorkydeanna IIII know!!! and mean,1
Having FeverĘ dont feel to work,-1
"Taking Horse Pills, hoping I can get some sleep tonight",1
@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one,1
@juliaiiivir Hey! That's my school! I hate that place.,-1
"Working from home today, my back is killing meĘ Doctor and then physio after later today.",-1
back to work.. with no distractions..,1
"@ddlovato demi, just say hi to me and it`s enough. just replay to me pleaseĘ love you so much!!!",1
"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic",-1
is desperatly hoping my dad takes me to vanessa's game,1
@pb_and_jay hi!Ę Fuck your job!,-1
Missing you all deeply,-1
"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!Ę its hard cuz Im workin so much, I miss out on alot",-1
Somebody please save the polar bears!,1
"My nose is runny, my head is pounding, and teeth hurt like a bitch. MAN. @-) I feel awful.Ę =((",-1
Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.,1
At the Grove for 'Drag Me to Hell.' I hope that it doesn't suck.,1
@NOLAevol so i feel like shit for saying HAPPY BELATED BIRFDAYY.. i'm only a month late,-1
"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack",-1
FC is finally up again. it's about time. i hate that this keeps happening,-1
seriously bored without anyone to talk to... but not tired enough for sleep,-1
bed bed bed @samuelasanders do you never answer texts anymore?Ę I thought of you the other day and sent one but never heard back. Sad day,-1
hoping i didn't fail english. that would just be sad,1
@MariusLT I'm sorry about your bad driving experiences.,-1
Already misses @CMontecillo,-1
"plan may changes , nooooooo",-1
my sister is a douchebag,-1
@fiercebanana there's relisting fees when you don't complete a sale?Ę that sucks!,-1
I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat,-1
@ddlovato july... too long,-1
Wearing glasses gives me a headache.,-1
"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!",-1
#liesgirlstellĘ a guy calls her phone to see if the number is real ) ohh my phone isn't working . try tomorrow .,-1
I'm bummed that I can't wear my sweet Nike kicks to work.,-1
sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!,1
@joek949 It's depressing I'm stuck inside all day,-1
@rachelasha I even saw the news feeds of the archie website. But can't believe he'd choose veronica. I'm disappointed,-1
i hate being sick. i miss @cynthiasheree @lucyowns and @larilync,-1
depressed that i wasn't included in the morcom gardens quiz on facebook,-1
Upsidedown tomato plants died!,-1
"friday here at last, not much fun when your skint though",-1
@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.Ę Ahar. (:,-1
"Friday yay!! And a bonus, don't have to drive to Wales tonight.Ę Athough will miss kitten cuddles and going for a ride",1
My children have promised me birthday brekkie in bed. There's a problem with that in that there's bugger all food in the house,-1
I cant use my blackberry today. This sucks.,-1
Q: what studio created 'Open Season'? should google it or look at the dvd downstairs but feeling lazy,-1
@prncsztalia why do you hate me!?,-1
time for tv in bed.Then spending all day catching up on studyingĘ i hate online summer classes,-1
http://twitpic.com/663vr - Wanted to visit the animals but we were too late,-1
@prime8507 PC I agree...Ę We have a problem. We must stop spending and only work!!!,-1
#jonaswebcast i just missed it!!!!,-1
Dang it! I REALLY look like crap!! Sigh only had 35mins to shower and 10mins to get ready,-1
So exhausted..can't sleep. I don't like these nights,-1
i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz,1
lol i cant drink!!,1
Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face,-1
Cannot sleep. 2+ hours of tossing and turning.,-1
Omg going to die of swine flu when I go to Melbourne,-1
PackingĘ I don't like it..,-1
@crispynoodles plus I just deposited tax return cheque but for first time in 7+ years it didn't clear immediately,-1
Holy crap! It's raining in LA and I don't have a jacket!Ę oh no.,-1
Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain,-1
"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",1
Rejecting all food substances.,-1
"@bigyahu no I was trying to interview Dr Paul Twomey, CEO of ICANN. Phone issues cut the interview from 30 mins to 15.",-1
@meghanwong don't think i can take a needle. watched a horribly gory short film on drugs a few months ago. i'm scarred for life.,-1
I don't wanna go back to work Ę sleepy time.,-1
watching The Biggest Loser on Hallmark. Never fails to make me cryĘ nyeh.,-1
@zaharh that sucks!Ę how old are you actually?,-1
@rbuerckner That's better than Missy 8 telling me I should be on The Biggest Loser,1
Just saw a fox!Ę as i was getting on the freeway... I hope it goes home,1
recapping on britains got talent. britain seems more talented than america,1
@officialTila I cnt get it!! its goin to ur old messages?!?Ę &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;,-1
"good time Rocking out @ open mic, thanks 4 all the love n support. Now working on Business plan presentation. No CG again 2nite",1
@laurelexmachina Swimming is a no go for me,-1
Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun,-1
@ccburns Unfortunately not,-1
I loved johnny carson now I'm going to hate seeing jay leno go,-1
even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happyĘ haha,-1
doing my english essay (on r&amp;j...wtf) that i should have done a long time ago when it was assigned last thursday,-1
FINALLY...the internet is up. The server is down in Phoenix and it was fucked up.,-1
@Harishk: @krist0ph3r @saurabh sorry guys i have to drop out of the trip... some personal commitments..,-1
@UniqueMakis Awesome! Wish I could fly out to see her,1
@nawid nopeĘ het is LOST&amp;found he ;-),-1
"At Rocky Cola Diner in Whittier tonight with teacher pal Mr. B, we had a great time chatting but no one else came...",1
Off to bed!! Still exhausted from Vegas,-1
"@heresmyhello92 LOL, very true. Maybe next year. I loooved that siggy, and I don't remember what the password for the mod thing wasĘ Cake?",1
ummm sooo yeh....its really hard to concentrate rite now wen i have this weird #lupus feeling goin thro my body,-1
@JetWolf I know I enjoy watching you two on twitter. About as entertaining as the comic.Ę That I miss,1
@Dakshinamurti Not yet... sorry,-1
FALL ASLEEP ON ME AGAINĘ But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,1
god i cant even catch public transport. swine flu is shit house,-1
"Dad just said that our trip to UK is cancelled, due to da swine flu. Ooops! Sorry abang.",-1
Hahaha! AlrightĘ ..,1
@guitar21g @jackie_hussein i have to wake up earlier than i thought.. my dad wants me to take him food at 9AM! no0o0o0o!,-1
um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail,-1
wants see my friendsĘ ;-) http://plurk.com/p/wxnwa,1
@seanpercival Unless that invite comes with a beta key I'm not going to be much help...,-1
"@askegg I'm sorry, Andrew. I wish there was something I could do...",-1
as if i finsh work at eleven.. IS THAT EVEN ALLOWD?Ę cauz i really dont want to.. lol,-1
Is ANYBODY up? .... I'm sooo bored!,-1
"@AmandaMallard i'm not at chaseton's eitherĘ please don't die, my heart will be really sad",-1
that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.,1
@omgjoker o its feels like a hot box and no matter where i go in here it still feels like a hot box! ice cream isn't working n e more,-1
@aannniieee uuuughĘ i hate everything,-1
"Is taking a moment to reflect...I want my annonymity back,FB!!!!Ę Is it safe to say anything about someone else to another friend again?",1
@sha_da_asshole Ŕ_ cant im not @ my sister house no Ŕ_-net tonite,-1
"Damn, hi Facebook ? what's wrong with you ? can't add photos",-1
"aku kbangun gara2 mimpi @manyolitha, very bad dream",-1
4 more followers.. follow me and I'll love you!! *pouts* Please?,1
"@textdrivebys i dont even have a WII! b likes xbox, so that's what we haveĘ do you use it?",1
"I can't sleep, this is so darn frustrating.",-1
My BFF rocking Hotel California now. No @NKOTB songs!Ę done stay the same. What's next? Hmmm.. Careless whisper!,-1
@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.,-1
Not feeling too good,-1
is going home... I've seriously had enough,-1
i miss oklahomaaaaaĘ listening to citizen cope til i pass out.,-1
@skyduke478 that makes me sad for you,-1
Feels like im going to cough up a lung,-1
Wishes you had teased me with movie night,1
"I lost 4 followers over night, nobody likes me",-1
@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.,-1
I want a new phoneĘ I've seen too much cellphone commercials (,-1
"@Anime81Ę I'm soo sad. It's just on the edges of the pages, but it's not gonna come out. *cries*",-1
"this time, i really need to shut it.. i'm going to sleep! my head aches badly and i really can't take it..",-1
@soonseeofpred becuz you braggin,1
@JoannaAngel I doĘ But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.,-1
@lawikyn ze Franz has not friended meĘ i think they think i'm a creepy stalker or sommat. Hmph.,-1
"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!",-1
wow I feel like ishĘ and I really feel bad because those ignorent aholes wont overturn prop 8,-1
Wishes you hadn't teased me with movie night,1
"dont know why so tired todayĘ bye, time for beddy",-1
"maybe i should take up drinking again, feel as if i have a ,massive hangoverĘ still not ,yself today",-1
friends from Traveller's Tales held a farewell party for me but I kinda disappointed them that I would still be here until Sep. My fault.,-1
night 5 not talking to my victorĘ i'm so bored at night now. grrrr i hate this shit,-1
I am going to die tomorrow night.Ę @emilazy should be here.,-1
"gonna get off to try and catch some Z's, no more high school after tomorrow! which really sucksĘ i wish i didn't have to grow up!",-1
should be sleeping.Ę lost my voice a couple day ago.,-1
big day 2day the xt launch was amazing! so much free stuff thanx 2 the edge and telecom! found the phone i want...cnt afford it yet tho,1
"@bethBABE4 Oh yeah, i'm the poorest person of all. But i shouldnt joke about that, poor other people",-1
@janesas_mommy ohĘ well i hope she gets better,1
@colstewart You're cycling tho' that's good. Healthy eatingĘ Healthy and eating are a contradiction in terms.,1
Sooo.....I'm kinda o sick n tired of the bs that guys dish outĘ !!!!!!!!,-1
So wish the Carlton game was on liveĘ stupid channel 7 lol.,-1
i no i no bt i had only been a gamer for like 2 years when i made that attemptĘ lol yea i luvd F1 to an extent @yellowshirts,1
@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that,1
@letsgeticecream I miss you!Ę Come to Michigan like now....I can't wait till July,-1
@talentdmrripleyĘ maybe a good night's sleep for everyone?,1
"@_erica Yea, its tough to keep it going. Sometimes I'm not sure its worth it.",-1
@BriannaBanshee such a dissapointmentĘ hhaha,-1
"@4EvaAFanOfPaula hun are you okay? I see alot of your posts your exercising like mad,not eating or sleeping",-1
oh no my tweetdeck is malfunctioning :O il have web will its fixd,-1
"@ElectraX ...i'm sorry about you are still sickĘ u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)",-1
@maliciousmandy1 Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday,-1
@carrotmadman6 What happened? I'm afraid I missed a large part of the story,-1
@anthothemantho Hell yes. I'm too late.,-1
Dell FX100 Pc-over-IP audio device (Teradici) is giving me a hard time in #Linux #Ubuntu JauntyĘ Kernel isnt loading the snd-hda-intel drv,-1
Just got my ass kicked in Tripoly lolĘ I got such bad cards... i suck,-1
"creeped it up at the ice cream social! good times. lars and the real girl, such a sad movie",1
Ahhhhh! My &quot;Let The Right One In&quot; DVD broke,-1
"@drewseeley hey i loved ACS but i had to see it online, is not here yet Ę cant wait to buy it!!! you look amazing there",1
fml my work uniform is on the washing line,-1
ohh shit i just realized she still not talking to meĘ it b like dat some times..,-1
"on my 42nd written fuck.. i get less ideas every day, and every day",-1
"@MelissaLynnette naw, it doesnt match up LOL and i have no shenanigans to discuss...Ę but i did do the thing...",-1
"@mayora not this part, unfortunately.",-1
"@soverpeck dude, i didn't know it was a personal experience. sorry something like that went down",-1
@A_Lay aww well I just randomly woke up and now I can't sleep! Too many things on my mind,-1
@donperignon me too baby... Miss you,-1
@hammett I wish I could have time for my xboxĘ project all tied,1
all my pancakes always end up soggy.,-1
